game_id,bKills,rKills
00032e36-8a18-472c-bf38-61b836b72e45,4,2.0
0042d216-8089-46e0-9b80-19015ec95b33,1,2.0
004a6723-f15c-439f-9615-0babb56a62cd,1,0
004d0e39-a2c2-4da7-84f4-bdfa1848b499,3,0
005f018f-6b71-4943-a556-497097d7f164,4,4.0
0075cd98-173e-45cf-b3e7-954a4ee7407c,1,1.0
007d4461-b4ed-4a21-b190-dfa8e3e4df76,4,0
00817338-3ee5-41fe-8fe2-27e124a6847f,3,1.0
008cb487-3fb0-416a-a22b-c8b2ff534c2a,3,3.0
00a6e138-9db0-49ca-8923-b23f1fc28a4e,2,1.0
00afe259-b6ea-4d83-9265-2f0452903a42,2,2.0
0103699d-1068-4594-83ef-3631b94651dd,2,0
010cb0aa-a65e-4ed1-b455-ab1072d78891,1,1.0
01168dea-7132-494c-8389-aa8dfc06ad9d,2,3.0
012de008-c74e-4c1d-9652-ed925b127833,2,0
0139c5ef-b65a-4915-a95e-0c2addc3f625,4,1.0
01aed0f6-7894-48a6-ac99-b1f7369cece6,2,2.0
01b24a10-73c7-4964-a989-cf418c388f37,3,4.0
01b2d005-cf35-4352-a408-44efb78200d8,3,0
01d8a66e-c470-4266-949b-51c841743e73,2,1.0
01e3cf08-7d94-4a27-9ab2-c5e6aeff0ddf,1,1.0
01fb57ab-7484-4a31-94e4-aedc65feb090,5,1.0
026924fc-9407-4cd4-ab1f-5f3151f00494,2,3.0
0275859c-58f4-408b-841c-2edf0c988d47,5,2.0
0282c2ee-e3b0-4066-8e59-6d7d63a0ac92,2,2.0
0283c544-7a97-49cc-ba93-f257b9928eee,3,6.0
02852a1d-cc81-47db-8956-64b78ea83447,1,3.0
0285f015-b044-4a6c-91e1-84e2b0aa215f,1,0
02a08cc1-d4b6-4cae-83a4-d6f1f8b6b5f5,2,3.0
02c26aa0-2cdf-4713-b203-cdf35d06c4d5,1,0
02c45fc8-8040-4332-ae04-a6b1bafaf3d4,2,1.0
02d00ff5-32a4-4591-9877-a3df98e489af,3,3.0
03309061-ad15-4a1f-a29c-ac2902d008f4,1,3.0
035369f4-4c29-452d-9fa8-88f5e7947a7a,1,2.0
