game_id,blue_gold,red_gold,gold_diff,blue_richer,blue_richer_count,blue_earn,red_earn,earn_diff
0001c4f2-b421-41e7-ae5e-6e8a61c7ad26,12071,13876,-1805,False,1,1454,1570,-116
00032e36-8a18-472c-bf38-61b836b72e45,13778,11963,1815,True,10,1448,1105,343
0024055a-f824-4a82-818f-22443bd2e080,13786,13461,325,True,5,1664,1514,150
00265d98-0c54-4c63-935e-7367e934f06f,11799,13021,-1222,False,1,1238,1409,-171
00281254-1bf8-42c0-9af5-9e54c6b36616,14097,12799,1298,True,6,1591,1251,340
003d96fe-d66c-4387-adae-ceb4269543bd,12062,13868,-1806,False,1,1506,1539,-33
0042d216-8089-46e0-9b80-19015ec95b33,12820,12313,507,True,5,1393,1496,-103
0043fd49-2f53-46e1-8bce-f4da7a46212b,13219,12581,638,True,9,1640,1474,166
004a6723-f15c-439f-9615-0babb56a62cd,12391,12605,-214,False,2,929,1338,-409
004d0e39-a2c2-4da7-84f4-bdfa1848b499,12663,11300,1363,True,7,1393,1340,53
005f018f-6b71-4943-a556-497097d7f164,13487,12123,1364,True,6,1464,1299,165
00612aab-4149-489e-b632-878a6231a6ac,13178,13264,-86,False,5,1349,1521,-172
006447f9-8292-43c0-9e5a-dda5a65cd9e3,13829,14092,-263,False,2,1598,2568,-970
006682af-c158-40eb-9073-134b68c8d696,13955,13866,89,True,3,1467,1364,103
006d6a2b-b128-4be2-a2a6-f85ef2d0b536,13267,13642,-375,False,0,1928,1613,315
0073723e-a0f3-41a6-8fec-d55a9d02e207,12161,12970,-809,False,0,1534,1987,-453
0075cd98-173e-45cf-b3e7-954a4ee7407c,12299,12493,-194,False,5,1376,1779,-403
0076cdeb-acad-42c5-8b1c-846dc774678e,12449,12936,-487,False,2,1609,1537,72
007d4461-b4ed-4a21-b190-dfa8e3e4df76,11684,11210,474,True,3,1110,1201,-91
007e4e7b-4115-4e9e-9d20-aee0f62918c5,12266,13062,-796,False,0,1417,1543,-126
00817338-3ee5-41fe-8fe2-27e124a6847f,13984,12602,1382,True,8,1671,1201,470
0081c851-4256-4e66-834d-dbeb57d1ec7c,14073,12704,1369,True,8,2311,1065,1246
008cb487-3fb0-416a-a22b-c8b2ff534c2a,12524,12023,501,True,7,1174,1514,-340
00a07dbf-c807-4971-8319-9d27e6b55ec3,14023,13223,800,True,5,2273,2279,-6
00a6e138-9db0-49ca-8923-b23f1fc28a4e,13685,12599,1086,True,8,1301,1598,-297
00afe259-b6ea-4d83-9265-2f0452903a42,14142,14691,-549,False,2,1475,1172,303
00b9dacb-b0c1-4bb3-89fc-312fbdb4821f,12726,15010,-2284,False,0,1097,1371,-274
00e8d322-4740-4b4a-bc0d-67d74495314d,12302,14185,-1883,False,2,1043,2938,-1895
00fef4b2-b763-4b78-988a-2afcfe19af9b,11523,11499,24,True,7,881,1059,-178
0103699d-1068-4594-83ef-3631b94651dd,12067,11660,407,True,5,1709,1291,418
0104180d-3891-44cc-a387-382f873b3a56,13992,12665,1327,True,8,1599,1594,5
010cb0aa-a65e-4ed1-b455-ab1072d78891,12273,13924,-1651,False,1,1263,1996,-733
010fa844-4cae-4521-b941-519db39d339f,13910,12970,940,True,4,2371,1011,1360
011357c5-62ff-4b30-8c8a-fa681c187fc4,12947,13293,-346,False,1,1757,1482,275
0114ffbe-99d7-422b-aabe-5109fd2ea7e7,13463,13956,-493,False,0,1604,1237,367
0115efdc-d990-4810-8d3f-208580cebecc,13120,13465,-345,False,1,1624,1592,32
01168dea-7132-494c-8389-aa8dfc06ad9d,11829,12289,-460,False,1,1257,1051,206
011f1043-1538-420a-9b7c-ba9128c8a30f,12515,13385,-870,False,1,1343,1524,-181
012de008-c74e-4c1d-9652-ed925b127833,13510,11079,2431,True,7,2246,1183,1063
01366bae-7353-462e-bd5a-c6595d51dc2b,13009,13340,-331,False,0,1433,1532,-99
0139c5ef-b65a-4915-a95e-0c2addc3f625,12972,12383,589,True,5,1178,1539,-361
0140da6f-1679-4155-97b0-6e73fdf4840d,13342,14278,-936,False,3,1521,1603,-82
014e5206-d1a4-451b-b99c-1f173d443391,13300,12876,424,True,6,1561,1546,15
01541a0b-2f31-4626-944d-d447689c62c9,12993,13572,-579,False,3,1429,1489,-60
